iter	Passed	Remaining
0	102	10114
1	218	10717
2	312	10110
3	423	10175
4	500	9511
5	585	9166
6	659	8761
7	732	8419
8	799	8085
9	905	8145
10	1091	8830
11	1225	8984
12	1338	8955
13	1451	8913
14	1518	8604
15	1589	8342
16	1661	8113
17	1736	7911
18	1804	7692
19	1875	7502
20	1936	7285
21	2006	7112
22	2096	7018
23	2180	6905
24	2281	6843
25	2358	6711
26	2429	6569
27	2496	6418
28	2562	6273
29	2633	6145
30	2705	6023
31	2772	5890
32	2829	5744
33	2895	5620
34	2970	5517
35	3040	5405
36	3095	5271
37	3153	5144
38	3271	5117
39	3363	5044
40	3431	4938
41	3507	4844
42	3573	4737
43	3637	4629
44	3704	4528
45	3787	4446
46	3886	4383
47	3952	4281
48	4016	4180
49	4093	4093
50	4178	4014
51	4278	3949
52	4391	3894
53	4474	3811
54	4554	3726
55	4617	3628
56	4693	3541
57	4778	3460
58	4881	3392
59	4975	3317
60	5041	3223
61	5112	3133
62	5198	3052
63	5300	2981
64	5405	2910
65	5465	2815
66	5527	2722
67	5602	2636
68	5685	2554
69	5757	2467
70	5830	2381
71	5898	2293
72	5960	2204
73	6032	2119
74	6105	2035
75	6180	1951
76	6246	1865
77	6318	1782
78	6380	1696
79	6442	1610
80	6531	1532
81	6633	1456
82	6701	1372
83	6759	1287
84	6817	1203
85	6886	1121
86	6980	1043
87	7053	961
88	7121	880
89	7189	798
90	7262	718
91	7346	638
92	7415	558
93	7495	478
94	7566	398
95	7649	318
96	7805	241
97	7955	162
98	8067	81
99	8225	0
